Podcast Preservation Survey 2018,,,,,,,,,,,,
Q1. Are you involved in any way in the production of a podcast?,,,,,,,,,,,,
Answer Choices,Responses,,,,,,,,,,,
"Yes, full-time",29.91%,166,,,,,,,,,,
"Yes, part-time",21.62%,120,,,,,,,,,,
"Yes, as a side project or hobby",35.68%,198,,,,,,,,,,
No,9.91%,55,,,,,,,,,,
Other (please explain),2.88%,16,,,,,,,,,,
,Answered,555,,,,,,,,,,
,Skipped,1,,,,,,,,,,
,,,,,,,,,,,,
"Q2. If you answered yes, which if any of the following affiliations do you have (choose as many as applicable)",,,,,,,,,,,,
Answer Choices,Responses,,,,,,,,,,,
"I work for a professional podcast network (e.g., Gimlet, Midroll, etc.)",10.65%,54,,,,,,,,,,
"I work for a public media broadcaster (e.g., NPR, WNYC)",10.45%,53,,,,,,,,,,
"I work for a for-profit media company, that does not primarily make podcasts (e.g., ESPN, CBS)",4.14%,21,,,,,,,,,,
I produce my own podcasts independently,62.33%,316,,,,,,,,,,
I am a freelance producer,22.88%,116,,,,,,,,,,
"I produce a podcast for an institution (e.g., a nonprofit [Cornell Lab of Ornithology], corporation [Morgan Stanley], etc.)",11.24%,57,,,,,,,,,,
Other (please explain),9.86%,50,,,,,,,,,,
,Answered,507,,,,,,,,,,
,Skipped,49,,,,,,,,,,
,,,,,,,,,,,,
Q3. Are you a professionally trained archivist?,,,,,,,,,,,,
Answer Choices,Responses,,,,,,,,,,,
"Yes, full-time",1.64%,9,,,,,,,,,,
"Yes, part-time",2.00%,11,,,,,,,,,,
No,93.27%,513,,,,,,,,,,
Other (please explain),3.09%,17,,,,,,,,,,
,Answered,550,,,,,,,,,,
,Skipped,6,,,,,,,,,,
,,,,,,,,,,,,
"Q4. If you answered yes, how would you best describe your institutional affiliation?",,,,,,,,,,,,
Answer Choices,Responses,,,,,,,,,,,
I work for an academic library,8.66%,11,,,,,,,,,,
"I work for an academic institution, not a library",6.30%,8,,,,,,,,,,
I work in a corporate archive,3.94%,5,,,,,,,,,,
Other (please explain),81.10%,103,,,,,,,,,,
,Answered,127,,,,,,,,,,
,Skipped,429,,,,,,,,,,
,,,,,,,,,,,,
Q5. I am familiar with practices that professional archivists use to manage born-digital files.,,,,,,,,,,,,
,Not at all,,2,,3,,4,,"Yes, entirely",,Total,Weighted Average
star,62.16%,317,15.29%,78,14.90%,76,5.49%,28,2.16%,11,510,1.7
,,,,,,,,,,,Answered,510
,,,,,,,,,,,Skipped,46
,,,,,,,,,,,,
Q6. I rename my digital audio files in some way,,,,,,,,,,,,
,Not at all,,2,,3,,4,,"Yes, entirely",,Total,Weighted Average
star,11.81%,60,7.09%,36,16.34%,83,22.83%,116,41.93%,213,508,3.76
,,,,,,,,,,,Answered,508
,,,,,,,,,,,Skipped,48
,,,,,,,,,,,,
"Q7. I organize some or all of my digital audio files into folders, or practice some sort of file organizing system.",,,,,,,,,,,,
,Not at all,,2,,3,,4,,"Yes, entirely",,Total,Weighted Average
